BirthYear;Country;Name;Gender;NumberOfName;Order
2023;TÜRKİYE;RABİA;Kadın;183970;19
2023;TÜRKİYE;LEYLA;Kadın;183466;20
2023;TÜRKİYE;SONGÜL;Kadın;179819;21
2023;TÜRKİYE;AYSEL;Kadın;166722;22
2023;TÜRKİYE;SEVİM;Kadın;163099;23
2023;TÜRKİYE;HACER;Kadın;161602;24
2023;TÜRKİYE;TUĞBA;Kadın;161111;25
2023;TÜRKİYE;FADİME;Kadın;159964;26
2023;TÜRKİYE;AYNUR;Kadın;157056;27
2023;TÜRKİYE;HAVVA;Kadın;156176;28
2023;TÜRKİYE;YAĞMUR;Kadın;155232;29
2023;TÜRKİYE;ŞERİFE;Kadın;153267;30
2022;TÜRKİYE;FATMA;Kadın;1190675;1
2022;TÜRKİYE;AYŞE;Kadın;933944;2
2022;TÜRKİYE;EMİNE;Kadın;800144;3
2022;TÜRKİYE;HATİCE;Kadın;727133;4
2022;TÜRKİYE;ZEYNEP;Kadın;696815;5
2022;TÜRKİYE;ELİF;Kadın;548883;6
2022;TÜRKİYE;MERYEM;Kadın;317592;7
2022;TÜRKİYE;MERVE;Kadın;293290;8
2022;TÜRKİYE;ZEHRA;Kadın;266635;9
2022;TÜRKİYE;ESRA;Kadın;248181;10
2022;TÜRKİYE;ÖZLEM;Kadın;234644;11
2022;TÜRKİYE;BÜŞRA;Kadın;212609;12
2022;TÜRKİYE;YASEMİN;Kadın;212401;13
2022;TÜRKİYE;HÜLYA;Kadın;197805;14
2022;TÜRKİYE;MELEK;Kadın;196651;15
2022;TÜRKİYE;SULTAN;Kadın;196159;16
2022;TÜRKİYE;KÜBRA;Kadın;191581;17
2022;TÜRKİYE;DİLEK;Kadın;189613;18
2022;TÜRKİYE;RABİA;Kadın;183753;19
2022;TÜRKİYE;LEYLA;Kadın;183046;20
2022;TÜRKİYE;SONGÜL;Kadın;180062;21
2022;TÜRKİYE;AYSEL;Kadın;167621;22
2022;TÜRKİYE;SEVİM;Kadın;165011;23
2022;TÜRKİYE;HACER;Kadın;162822;24
2022;TÜRKİYE;FADİME;Kadın;161674;25
2022;TÜRKİYE;TUĞBA;Kadın;161192;26
2022;TÜRKİYE;AYNUR;Kadın;157487;27
2022;TÜRKİYE;HAVVA;Kadın;157426;28
2022;TÜRKİYE;ŞERİFE;Kadın;155375;29
2022;TÜRKİYE;YAĞMUR;Kadın;153658;30
2021;TÜRKİYE;FATMA;Kadın;1201786;1
2021;TÜRKİYE;AYŞE;Kadın;941211;2
2021;TÜRKİYE;EMİNE;Kadın;807279;3
2021;TÜRKİYE;HATİCE;Kadın;731889;4
2021;TÜRKİYE;ZEYNEP;Kadın;689202;5
2021;TÜRKİYE;ELİF;Kadın;543779;6
2021;TÜRKİYE;MERYEM;Kadın;314804;7
2021;TÜRKİYE;MERVE;Kadın;292151;8
2021;TÜRKİYE;ZEHRA;Kadın;264564;9
2021;TÜRKİYE;ESRA;Kadın;247369;10
2021;TÜRKİYE;ÖZLEM;Kadın;234513;11
2021;TÜRKİYE;YASEMİN;Kadın;211804;12
2021;TÜRKİYE;BÜŞRA;Kadın;210875;13
2021;TÜRKİYE;HÜLYA;Kadın;197703;14
2021;TÜRKİYE;SULTAN;Kadın;197547;15
2021;TÜRKİYE;MELEK;Kadın;195075;16
2021;TÜRKİYE;KÜBRA;Kadın;190617;17
2021;TÜRKİYE;DİLEK;Kadın;189538;18
2021;TÜRKİYE;RABİA;Kadın;182385;19
2021;TÜRKİYE;LEYLA;Kadın;181872;20
2021;TÜRKİYE;SONGÜL;Kadın;179810;21
2021;TÜRKİYE;AYSEL;Kadın;168149;22
2021;TÜRKİYE;SEVİM;Kadın;166542;23
2021;TÜRKİYE;HACER;Kadın;163651;24
2021;TÜRKİYE;FADİME;Kadın;163356;25
2021;TÜRKİYE;TUĞBA;Kadın;160681;26
2021;TÜRKİYE;HAVVA;Kadın;157802;27
2021;TÜRKİYE;AYNUR;Kadın;157498;28
2021;TÜRKİYE;ŞERİFE;Kadın;157259;29
2021;TÜRKİYE;AYŞEGÜL;Kadın;151913;30
2020;TÜRKİYE;FATMA;Kadın;1214700;1
2020;TÜRKİYE;AYŞE;Kadın;949778;2
2020;TÜRKİYE;EMİNE;Kadın;814892;3
2020;TÜRKİYE;HATİCE;Kadın;737115;4
2020;TÜRKİYE;ZEYNEP;Kadın;681110;5
2020;TÜRKİYE;ELİF;Kadın;538121;6
2020;TÜRKİYE;MERYEM;Kadın;312246;7
2020;TÜRKİYE;MERVE;Kadın;290702;8
2020;TÜRKİYE;ZEHRA;Kadın;262456;9
2020;TÜRKİYE;ESRA;Kadın;246453;10
2020;TÜRKİYE;ÖZLEM;Kadın;234266;11
2020;TÜRKİYE;YASEMİN;Kadın;211164;12
2020;TÜRKİYE;BÜŞRA;Kadın;209437;13
2020;TÜRKİYE;SULTAN;Kadın;199045;14
